id	text
11	> CLICK > CLICK > TYPE: scream > CLICK > CLICK > CLICK > TYPE: Panini Diamonds Kings Baseball cards > CLICK > CLICK > CLICK > CLICK > TYPE: James > CLICK > TYPE: Deathloop > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: chicago > TYPE: Brooklyn > TYPE: Smith > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: buckeye.foobar@gmail.com > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: los angeles > CLICK > TYPE: 8888888888 > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Chicago > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: 123rd st > CLICK > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > TYPE: Directors > CLICK > CLICK > CLICK > CLICK > TYPE: To Watch > CLICK > CLICK > CLICK > CLICK > SELECT: People > SELECT: Lowest Price > CLICK > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > CLICK
12	> CLICK > CLICK > TYPE: larryknox@gmail.com > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: mens black running shoes > TYPE: Birmingham > CLICK > CLICK > CLICK > TYPE: Alagnak > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Seattle > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Paris > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: san diego > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
13	> HOVER > CLICK > HOVER > CLICK > CLICK > CLICK > TYPE: trade in > CLICK > CLICK > TYPE: dog food > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Katy Perry > TYPE: 1234567890 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Smith > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Black Ops > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: NEW YORK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 4 > CLICK > TYPE: PARIS > SELECT: Under 1 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: jfk > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: heathrow > CLICK > CLICK > CLICK > CLICK > CLICK
14	> CLICK > HOVER > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > TYPE: colombo > CLICK > TYPE: stewart hotel > CLICK > TYPE: Chennai > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: new york > CLICK > CLICK > SELECT: Price, low to high > CLICK > CLICK > TYPE: 10013 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: James > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: SMith > CLICK > CLICK > CLICK > CLICK > TYPE: 133 st avenue > CLICK > CLICK > CLICK > TYPE: New York > CLICK > CLICK > SELECT: New York > CLICK > TYPE: 10001 > CLICK > TYPE: 888888888 > CLICK > TYPE: buckeye.foobar@gmail.com > CLICK > TYPE: buckeye.foobar@gmail.com > CLICK > CLICK > CLICK > TYPE: Gua AB > CLICK > CLICK
15	> TYPE: radio city music hall > CLICK > HOVER > HOVER > CLICK > TYPE: Dubai > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: US$20 to US$40 > CLICK > CLICK > TYPE: O'hare Airport > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: In stock (53476) > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Digital > TYPE: 123 Main St, West Chicago, IL > CLICK > TYPE: 12345678 > CLICK > CLICK > CLICK > SELECT: French (299) > CLICK > CLICK > TYPE: Jason > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Two > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 2 > SELECT: Lowest Price > CLICK > CLICK > HOVER
16	> TYPE: Madison Square Garden > CLICK > HOVER > HOVER > CLICK > HOVER > CLICK > TYPE: MUMBAI > CLICK > CLICK > CLICK > TYPE: SHANGHAI > CLICK > CLICK > TYPE: Aquarium of Paris > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK  5 Days > CLICK > CLICK > CLICK > TYPE: LONDON > CLICK > CLICK > TYPE: SEOUL > CLICK > CLICK > CLICK > CLICK > TYPE: Atas > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: 1000001 > CLICK > TYPE: James > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Smith > CLICK > CLICK > CLICK > TYPE: abc@abc.com > CLICK > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
17	> TYPE: New York City > CLICK > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > TYPE: Stanford, CA > CLICK > CLICK > TYPE: KATHMANDU > CLICK > CLICK > TYPE: mexico city > CLICK > CLICK > CLICK > TYPE: car accident lawyers > CLICK > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: SHANGHAI > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Low to High > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
18	> CLICK > CLICK > HOVER > CLICK > CLICK > TYPE: BIRMINGHAM > TYPE: cafe > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: BMW > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: i3 > CLICK > CLICK > CLICK > TYPE: new york city > TYPE: Monty > CLICK > CLICK > TYPE: 10001 > TYPE: MONTGOM > CLICK > CLICK > CLICK > TYPE: Lue > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: 4847 > TYPE: Chicago > SELECT: Lowest price first > CLICK > CLICK > CLICK > TYPE: 10019 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 11:00 AM > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 5:00 PM > CLICK > CLICK > CLICK > SELECT: Price: Low to High > CLICK > CLICK > TYPE: Wedding Anniversary > CLICK > CLICK > TYPE: John > TYPE: Mark > TYPE: Johnmark@gmail.com > TYPE: 234567890 > CLICK > HOVER
19	> CLICK > CLICK > HOVER > CLICK > SELECT: Tesla > CLICK > CLICK > CLICK > TYPE: Timesqure New York > TYPE: playstation gift card $10 > CLICK > CLICK > CLICK > CLICK > TYPE: 10017 > CLICK > TYPE: Texas City, Texas > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
20	> CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > TYPE: Google Play > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Oakland, CA > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: New York > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Honolulu > TYPE: 10017 > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Metformin 1000mg > CLICK > CLICK > CLICK > TYPE: abc@abc.com > TYPE: Hot Dogs > CLICK > CLICK > CLICK > TYPE: 1300 > SELECT: 2022 > CLICK > CLICK > CLICK > CLICK > TYPE: fre > CLICK > CLICK > SELECT: 2023 > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 50 mi > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Most recent > CLICK > CLICK > CLICK > SELECT: Newest first (by car year) > CLICK
21	> TYPE: diamond stud earrings > TYPE: cough medicine > CLICK > HOVER > CLICK > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > TYPE: Chicago > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: travel agent > TYPE: Alinea > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: SAN FRANCISCO > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: SHELDON > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Grand Junction > CLICK > CLICK > TYPE: COOPER > CLICK > SELECT: Colorado > CLICK > SELECT: Sort by Price > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 5:00 PM > SELECT: Arizona > CLICK  latest to soonest
22	> CLICK > CLICK > TYPE: New York City > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > SELECT: Delivery > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Sort by Price > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: detroit > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 6:00 PM > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
23	> TYPE: Tom Hanks > CLICK > CLICK > TYPE: Carribbean > CLICK > TYPE: lenovo laptop > CLICK > TYPE: Ed Sheeran > TYPE: La Bomba > CLICK > CLICK > CLICK > TYPE: Los Angeles > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Joe Bloggs > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: 400 > CLICK > TYPE: CHICAGO > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 8:15 PM > SELECT: 10 guests > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
24	> CLICK > CLICK > CLICK > TYPE: NIAGRA FALLS > CLICK > TYPE: laptop > CLICK > TYPE: smith > CLICK > CLICK > CLICK > CLICK > TYPE: madurai > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Abbotsford > CLICK > CLICK > CLICK > CLICK > TYPE: 700 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Sheboygan > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Dirty > CLICK > HOVER > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Doja Cat > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Doja Cat > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Doja Cat > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Doja Cat > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Doja Cat > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
25	> CLICK > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Taylor Swift > CLICK > CLICK > CLICK > TYPE: king of tokyo > CLICK > CLICK > CLICK > CLICK > TYPE: Uncharted Legacy of Thieves Collection > CLICK > TYPE: indian > CLICK > CLICK > CLICK > TYPE: roman empire history > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
26	> TYPE: New York > CLICK > CLICK > TYPE: trash can automatic lid > TYPE: Roanoke > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Alfred > CLICK > TYPE: 60 > CLICK > CLICK > CLICK > CLICK > TYPE: pizza > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > ENTER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 1 Guest > CLICK > TYPE: Neo > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Thomas > CLICK > CLICK > CLICK > CLICK > TYPE: 05/05/1995 > CLICK > CLICK > CLICK > TYPE: Texas city > CLICK > CLICK > CLICK 5258 > CLICK > CLICK > CLICK > TYPE: thomas.neo@gmail.com > CLICK > CLICK > TYPE: Anderson > CLICK > TYPE: po box 2846 > CLICK > TYPE: Texas > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
27	> TYPE: jaguar xf > CLICK > TYPE: The Last of Us > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Tokyo > CLICK > TYPE: Miami > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: 123456789 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Smith > CLICK > CLICK > TYPE: black > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Jaguar > CLICK > CLICK > CLICK > CLICK > TYPE: 500 > CLICK > CLICK > CLICK
28	> HOVER > TYPE: HOLLYWOOD > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: thai > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: sports wear > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: LOS ANGELES > TYPE: James Smith > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 7:00 PM > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: July 2023 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: 150 > CLICK > SELECT: 1:00 PM > TYPE: 200 > CLICK > SELECT: 2:00 PM > CLICK > CLICK > SELECT: Vietnam > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
